"","x","y"
"1",7,0.0122998606983537
"2",2,0.0291318521181967
"3",3,-0.0384658586409141
"4",4,-0.00292213914037081
"5",5,-0.0138294617977695
"6",6,0.00976309227858529
"7",7,0.0222790205935592
"8",8,-0.0432975457966865
"9",9,-0.0269511971128797
"10",10,-0.0317759182170206
"11",11,0.0191215969133244
"12",12,0.0538713931152374
"13",13,-0.0426678809403762
"14",14,-0.0127249922461059
"15",15,0.00400117841829844
"16",16,-0.0174537407880037
"17",17,0.00581939715809311
"18",18,0.0118298939361318
"19",19,-0.00811622881765075
"20",20,0.0633106288983465
"21",21,0.0141343217331883
"22",22,0.0326741807569511
"23",23,-0.012873379369027
"24",24,-0.0191946669319023
"25",25,0.00387138306453014
"26",26,-0.000233197625221833
"27",27,-0.0425143672550043
"28",28,0.0262001602469073
"29",29,0.00671012129844243
"30",30,0.0366230919088649
"31",31,-0.0391122977596082
"32",32,0.0473730202440645
"33",33,-0.00228483247269245
"34",34,-0.0623826927979614
"35",35,-0.0181992260506693
"36",36,-0.0406034704515353
"37",37,-0.00250115257487094
"38",38,0.086162294433465
"39",39,-0.017906693464078
"40",40,-0.024281852399596
"41",41,0.0437177328375847
"42",42,-0.000313007197803431
"43",43,0.0549510684225241
"44",44,-0.00863887116108221
"45",45,-0.00707046426744899
"46",46,0.0248324254451788
"47",47,0.01563114047862
"48",48,0.0540691619548209
"49",49,-0.00447519176368457
"50",50,-0.0336327558185569
"51",51,-0.036032677614265
"52",52,0.0172086556527738
"53",53,-0.0176933628194431
"54",54,0.00666420746383531
"55",55,-0.0242837685159781
"56",56,0.0210830064906906
"57",57,0.0297424184416853
"58",58,-0.0171808266119178
"59",59,-0.0130836833942546
"60",60,-0.017599100032974
"61",61,-0.0577854498695767
"62",62,-0.045696555756096
"63",63,0.013326556293114
"64",64,-0.028680712511511
"65",65,0.0140599145375587
"66",66,-0.0215009981299196
"67",67,-0.0167426720340175
"68",68,-0.018812826618002
"69",69,0.0405939402419336
"70",70,0.0214952364537627
"71",71,0.0225535499332347
"72",72,-0.0304668081405509
"73",73,0.0381667391587709
"74",74,0.0243439363945495
"75",75,0.00686749335334866
"76",76,0.0587766570502008
"77",77,0.0225352797175308
"78",78,0.0243616890433761
"79",79,0.00722493661012892
"80",80,0.0294849289476512
"81",81,-0.0180634635838035
"82",82,-0.0181806485671719
"83",83,-0.0457100808088051
"84",84,-0.0166926742455308
"85",85,-0.00128874796324163
"86",86,-0.0236877332127423
"87",87,-0.0231345212161849
"88",88,0.0410706008527676
"89",89,0.0451040321759407
"90",90,-0.0253916797911063
"91",91,-0.0285533065950981
"92",92,-0.0267544565452653
"93",93,0.0231372484634791
"94",94,-0.0372098124444906
"95",95,-0.0489377168318436
"96",96,-0.00710451218693738
"97",97,-0.0114342752046809
"98",98,-0.0197058990261544
"99",99,0.00899346993227741
